Part,Value,Device,Package,Description,DIGIKEY_PART#,Mfg,Part#, Q1 [CAD] , Q10 [CAD] , Q100 [CAD] ,Need, Subtotal ,,Buy, Subtotal 
C124,0u1,CAPACITOR_0402,CAPC1005X60N
C57,0u1,CAPACITOR_0402,CAPC1005X60N
C58,0u1,CAPACITOR_0402,CAPC1005X60N
C59,0u1,CAPACITOR_0402,CAPC1005X60N
C69,0u1,CAPACITOR_0402,CAPC1005X60N
C72,0u1,CAPACITOR_0402,CAPC1005X60N
C73,0u1,CAPACITOR_0402,CAPC1005X60N
C74,0u1,CAPACITOR_0402,CAPC1005X60N
C75,0u1,CAPACITOR_0402,CAPC1005X60N
C76,0u1,CAPACITOR_0402,CAPC1005X60N
C77,0u1,CAPACITOR_0402,CAPC1005X60N
C78,0u1,CAPACITOR_0402,CAPC1005X60N
C79,0u1,CAPACITOR_0402,CAPC1005X60N
C80,0u1,CAPACITOR_0402,CAPC1005X60N
C81,0u1,CAPACITOR_0402,CAPC1005X60N
C82,0u1,CAPACITOR_0402,CAPC1005X60N
C83,0u1,CAPACITOR_0402,CAPC1005X60N
C84,0u1,CAPACITOR_0402,CAPC1005X60N
C86,0u1,CAPACITOR_0402,CAPC1005X60N
C87,0u1,CAPACITOR_0402,CAPC1005X60N
C88,0u1,CAPACITOR_0402,CAPC1005X60N
C89,0u1,CAPACITOR_0402,CAPC1005X60N
C91,0u1,CAPACITOR_0402,CAPC1005X60N
C92,0u1,CAPACITOR_0402,CAPC1005X60N,,,,,,,,,,,,
C94,0u1,CAPACITOR_0402,CAPC1005X60N,,,,,,,,,,,,
C95,0u1,CAPACITOR_0402,CAPC1005X60N,,,,,,,,,,,,
C97,0u1,CAPACITOR_0402,CAPC1005X60N,,,,,,,,,,,,
C98,0u1,CAPACITOR_0402,CAPC1005X60N,,,,,,,,,,,,
C1,0u1,CAPACITOR_0603,CAPC1608X92N,CAP CER 0.1UF 16V 10% X7R 0603,490-1532-1-ND,Murata,GRM188R71C104KA01D,,$0.02,$0.01,39,$0.86,,100,$0.99
C102,0u1,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C104,0u1,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C107,0u1,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C115,0u1,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C125,0u1,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C2,0u1,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C22,0u1,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C25,0u1,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C3,0u1,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C30,0u1,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C32,0u1,CAPACITOR_0603,CAPC1608X92N
C33,0u1,CAPACITOR_0603,CAPC1608X92N
C38,0u1,CAPACITOR_0603,CAPC1608X92N
C42,0u1,CAPACITOR_0603,CAPC1608X92N
C45,0u1,CAPACITOR_0603,CAPC1608X92N
C47,0u1,CAPACITOR_0603,CAPC1608X92N
C49,0u1,CAPACITOR_0603,CAPC1608X92N
C50,0u1,CAPACITOR_0603,CAPC1608X92N
C51,0u1,CAPACITOR_0603,CAPC1608X92N
C53,0u1,CAPACITOR_0603,CAPC1608X92N
C55,0u1,CAPACITOR_0603,CAPC1608X92N
C56,0u1,CAPACITOR_0603,CAPC1608X92N
C60,0u1,CAPACITOR_0603,CAPC1608X92N
C63,0u1,CAPACITOR_0603,CAPC1608X92N
C66,0u1,CAPACITOR_0603,CAPC1608X92N
C67,0u1,CAPACITOR_0603,CAPC1608X92N
C68,0u1,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C70,0u1,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C71,0u1,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C85,0u1,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C90,0u1,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C93,0u1,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C96,0u1,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C99,0u1,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C15,100pF,CAPACITOR_0603,CAPC1608X92N,CAP CER 100PF 50V 5% NP0 0603, 445-1281-1-ND,TDK,C1608C0G1H101J080AA,$0.12,$0.03,,2,$0.24,,10,$0.31
C16,100pF,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C43,15pF,CAPACITOR_0603,CAPC1608X92N,CAP CER 15PF 50V 5% NP0 0603,445-1271-1-ND,TDK,C1608C0G1H150J080AA,$0.12,$0.03,,2,$0.24,,10,$0.31
C44,15pF,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C11,1uF,CAPACITOR_0603,CAPC1608X92N,CAP CER 1UF 10V 10% X7R 0603,587-1242-1-ND,Taiyo Yuden,LMK107B7105KA-T,$0.12,$0.05,,10,$0.47,,0,
C37,1uF,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C39,1uF,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C12,1uF,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C129,1uF,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C13,1uF,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C14,1uF,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C26,1uF,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C40,1uF,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C61,1uF,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C7,1uF,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C34,2u2,CAPACITOR_0603,CAPC1608X92N,CAP CER 2.2UF 6.3V 10% X5R 0603, 587-3386-1-ND,Taiyo Yuden,JMK107BJ225KAHT,$0.13,$0.09,,2,$0.26,,10,$0.89
C62,2u2,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C52,6n8,CAPACITOR_0603,CAPC1608X92N,CAP CER 6800PF 25V 5% NP0 0603,1276-1185-1-ND,Samsung,CL10B682KB8NNNC,$0.12,$0.04,,2,$0.24,,10,$0.36
C54,6n8,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C126,NC,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C127,NC,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C128,NC,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C48,NC,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C65,NC,CAPACITOR_0603,CAPC1608X92N,,,,,,,,,,,,
C10,10uF,CAPACITOR_0805N,CAP2012X70N,CAP CER 10UF 10V 20% X5R 0805,445-7661-1-ND,TDK,C2012X5R1A106M125AB,$0.23,$0.16,,10,$1.57,,20,$3.14
C17,10uF,CAPACITOR_0805N,CAP2012X70N,,,,,,,,,,,,
C18,10uF,CAPACITOR_0805N,CAP2012X70N,,,,,,,,,,,,
C19,10uF,CAPACITOR_0805N,CAP2012X70N,,,,,,,,,,,,
C5,10uF,CAPACITOR_0805N,CAP2012X70N,,,,,,,,,,,,
C21,10uF,CAPACITOR_0805N,CAP2012X70N,,,,,,,,,,,,
C46,10uF,CAPACITOR_0805N,CAP2012X70N,,,,,,,,,,,,
C4,10uF,CAPACITOR_0805N,CAP2012X70N,,,,,,,,,,,,
C41,10uF,CAPACITOR_0805N,CAP2012X70N,,,,,,,,,,,,
C9,10uF,CAPACITOR_0805N,CAP2012X70N,,,,,,,,,,,,
C6,,"CPOL-EUE2,5-6E","E2,5-6E",CAP ALUM 470UF 10V 20% RADIAL,565-1023-ND,United Chemi-Con,ESMG100ELL471MF11D,$0.47,,,1,$0.47,,3,$1.41
C27,10uF,CPOL-EUE2-5,E2-5,CAP ALUM 10UF 63V 20% RADIAL,493-11022-1-ND,Nichicon,UFW1J100MDD1TD ,$0.29,,,2,$0.58,,5,$1.45
C28,10uF,CPOL-EUE2-5,E2-5,CAP ALUM 10UF 63V 20% RADIAL,,,,,,,,,,,
C35,2u2,"C-PR-1,0X3","E1,0-3", CAP ALUM 2.2UF 35V 20% RADIAL,493-10302-1-ND,Nichicon,UMT1V2R2MCD2TP,$0.34,,,2,$0.68,,5,$1.70
C36,2u2,"C-PR-1,0X3","E1,0-3",,,,,,,,,,,,
J10,DB15H-S,DB15H-S,DB15HS,CONN D-SUB HD RCPT 15POS RA GOLD,S9581-ND,Sullins Connector,SDS108-PRW1-F15-SN63-1,$1.33,,,1,$1.33,,0,
J1,DCJ0202PIN,DCJ0202PIN,PJ-102A,CONN PWR JACK 2.1X5.5MM HIGH CUR (5A),CP-102AH-ND,CUI Inc,PJ-102AH,$1.36,,,,,,,
,,,,CONN JACK POWER 2.1MM PCB (2.5A),CP-102A-ND,CUI Inc,PJ-102A,$1.16,,,1,$1.16,,2,$2.32
D1,RB751S40,DIODE-SOD523,SOD523,DIODE SCHOTTKY 40V 0.03A SOD523F,RB751S40CT-ND,Fairchild Semi,RB751S40,$0.24,$0.23,,3,$0.72,,5,$1.20
D6,RB751S40,DIODE-SOD523,SOD523,,,,,,,,,,,,
D9,RB751S40,DIODE-SOD523,SOD523,,,,,,,,,,,,
U13,ENC624J600/PT,ENC624J600/PT,TQFP64,IC ETHERNET CTRLR W/SPI 64-TQFP, ENC624J600-I/PT-ND,Microchip,ENC624J600-I/PT,$5.36,,,1,$5.36,,1,$5.36
U17,EP3C25P240,EP3C25P240,PQFP240,IC FPGA 148 I/O 240QFP,544-2076-ND,Altera,EP3C25Q240C8N,$49.35,,,1,$49.35,,1,$49.35
U10,TLV70033,LDO-5,SOT23-5,IC REG LDO 3.3V 0.2A 5SOT,296-27937-1-ND,TI,TLV70033DDCR,$0.59,,,2,$1.18,,2,$1.18
U6,TLV70033,LDO-5,SOT23-5,,,,,,,,,,,,
U3,MCP1700T-2502E/TT,MCP1700/TT,SOT95P280X135-3N,IC REG LDO 2.5V 0.25A SOT23-3,MCP1700T-2502E/TTCT-ND,Microchip,MCP1700T-2502E/TT,$0.51,,,1,$0.51,,2,$1.02
U4,MCP1700T-3002E/TT,MCP1700/TT,SOT95P280X135-3N,IC REG LDO 3V 0.25A SOT23-3,MCP1700T-3002E/TTCT-ND,Microchip,MCP1700T-3002E/TT,$0.51,,,1,$0.51,,2,$1.02
J4,,MINI_DIN_6,M_DIN6,CONN MINI-DIN 6 PIN FEMALE PCB,CP-2260-ND,CUI Inc,MD-60SM,$1.87,,,1,$1.87,,0,
U15,MK22DX_VLF,MK22DX_VLF,TQFP48,"Freescale Cortex M4 in 48 pin package: MK22DX128VLF5, MK22DX256VLF5", MK22DX256VLF5-ND,Freescale Semi,MK22DX256VLF5,$6.43,,,1,$6.43,,1,$6.43
S1,,MOM_SW-RTPTS635V,PTS635V,OMRON SWITCH,,,,,,,,,,,
Q1,2N7002,MOSFET-NCH_SOT-23,SOT95P280X135-3N,MOSFET N-CH 60V 115MA SOT-23,2N7002NCT-ND,Fairchild Semi,2N7002,$0.27,$2.40,,1,$0.27,,0,
H1,MOUNT-PAD-ROUND3.3-NONPLATED,MOUNT-PAD-ROUND3.3-NONPLATED,3.2-PAD,"MOUNTING PAD, round",,,,,,,,,,0,
H2,MOUNT-PAD-ROUND3.3-NONPLATED,MOUNT-PAD-ROUND3.3-NONPLATED,3.2-PAD,"MOUNTING PAD, round",,,,,,,,,,,
H3,MOUNT-PAD-ROUND3.3-NONPLATED,MOUNT-PAD-ROUND3.3-NONPLATED,3.2-PAD,"MOUNTING PAD, round",,,,,,,,,,,
H4,MOUNT-PAD-ROUND3.3-NONPLATED,MOUNT-PAD-ROUND3.3-NONPLATED,3.2-PAD,"MOUNTING PAD, round",,,,,,,,,,,
U16,MT48LC4M32B2,MT48LC4M32B2,TSOP86,IC SDRAM 256MBIT 166MHZ 86TSOP 2Mx4x32,706-1288-ND , ISSI,IS42S32800D-6TL,$11.41,,,1,$11.41,,1,$11.41
L2,NRS40182R2,NRS4018,NR4018,INDUCTOR POWER 2.2UH 2.2A SMD,587-2890-1-ND,Taiyo Yuden,NRS4018T2R2MDGJ,$0.43,,,1,$0.43,,3,$1.29
L3,NRS40184R7,NRS4018,NR4018,INDUCTOR POWER 4.7UH 1.7A SMD,587-2893-1-ND,Taiyo Yuden,NRS4018T4R7MDGJ,$0.43,,,1,$0.43,,3,$1.29
U5,PAM2306D,PAM2306D,PAM2306D,IC REG BUCK SYNC ADJ 1A DL 12DFN,PAM2306DYPAADICT-ND,Diodes Inc,PAM2306DYPAA,$0.98,,,1,$0.98,,2,$1.96
C64,PAS311VA6R,PAS311VA6R,311VA6R,CAP SUPER 0.03F 3.3V COIN SMD,587-2669-1-ND,Taiyo Yuden,PAS311HR-VG1,$1.53,,,1,$1.53,,2,$3.06
JP3,NC,PINHD-1X6_2.00,1X06M,PIN HEADER,,,,,,,0,,,,
2X22M-W_PLUG,2X22M-W_PLUG,2X22M-W_PLUG,2X22M-W_PLUG,PIN HEADER,,,,,,,,,,,
JP2,nc,PINHD-2X3_2.54-90?,2X03-90,PIN HEADER,,,,,,,0,,,,
JP4,,PINHD-2X3_2.54-ROUND,2X03-RND,,,,,,,,,,,,
JP7,,PINHD-2X3_2.54-ROUND,2X03-RND,PIN HEADER,,,,,,,,,,,
JP6,,PINHD-2X4,2X04,PIN HEADER,,,,,,,,,,,
J2,,PINHD-2X5_2.54-W/PLUG,2X05-W_PLUG,PIN HEADER,,,,,,,,,,,
J3,,PINHD-2X5_2.54-W/PLUG,2X05-W_PLUG,PIN HEADER,,,,,,,,,,,
C24,10uF,POLARISED_B_CASE,CAPMP3528X210N,CAP TANT 15UF 10V 20% 1411,478-8202-1-ND,AVX ,F931A156MBA,$0.43,,,2,$0.86,,0,
C31,10uF,POLARISED_B_CASE,CAPMP3528X210N,,,,,,,,,,,,
C20,,POLARISED_D_CASE,CAPMP7343X310N,CAP TANT 100UF 10V 20% 2917,399-3772-1-ND,Kemet,T491D107M010AT,$1.10,,,0,,,0,
C8,,POLARISED_D_CASE,CAPMP7343X310N,,,,,,,,,,,,
PTC4,0ZCJ0005FF2E,PTC1206,1206,PTC RESTTBLE 0.05A 60V CHIP 1206,507-1793-1-ND,Bel Fuse Inc,0ZCJ0005FF2E,$0.14,,,1,$0.14,,5,$0.70
PTC3,1206L035YR,PTC1206,1206,FUSE PTC RESET 6V .35A 1206,507-1800-1-ND,Bel Fuse Inc,0ZCJ0035FF2G,$0.14,,,1,$0.14,,5,$0.70
PTC1,1206L110TH,PTC1206,1206,PTC RESTTBLE 1.0A 6V CHIP 1206,507-1482-1-ND,Bel Fuse Inc,0ZCA0100FF2E,$0.24,,,1,$0.24,,5,$1.20
PTC2,1206L110TH,PTC1206,1206,,,,,,,,,,,,
R26,120R,RESISTOR_0402,RESC1005X40AN,RES 120 OHM 1/16W 1% 0402 SMD,RHM120CDCT-ND, Rohm Semi,MCR01MRTF1200,$0.10,$0.01,,7,$0.13,,20,$0.26
R27,120R,RESISTOR_0402,RESC1005X40AN,,,,,,,,,,,,
R28,120R,RESISTOR_0402,RESC1005X40AN,,,,,,,,,,,,
R29,120R,RESISTOR_0402,RESC1005X40AN,,,,,,,,,,,,
R30,120R,RESISTOR_0402,RESC1005X40AN,,,,,,,,,,,,
R24,120R,RESISTOR_0402,RESC1005X40AN,,,,,,,,,,,,
R31,120R,RESISTOR_0402,RESC1005X40AN,,,,,,,,,,,,
R52,249R,RESISTOR_0402,RESC1005X40AN,RES 249 OHM 1/16W 1% 0402 SMD,311-249LRCT-ND,Yageo,RC0402FR-07249RL,,$0.02,,15,$0.27,,50,$0.90
R53,249R,RESISTOR_0402,RESC1005X40AN,,,,,,,,,,,,
R54,249R,RESISTOR_0402,RESC1005X40AN,,,,,,,,,,,,
R55,249R,RESISTOR_0402,RESC1005X40AN,,,,,,,,,,,,
R56,249R,RESISTOR_0402,RESC1005X40AN,,,,,,,,,,,,
R58,249R,RESISTOR_0402,RESC1005X40AN,,,,,,,,,,,,
R59,249R,RESISTOR_0402,RESC1005X40AN,,,,,,,,,,,,
R60,249R,RESISTOR_0402,RESC1005X40AN,,,,,,,,,,,,
R61,249R,RESISTOR_0402,RESC1005X40AN,,,,,,,,,,,,
R62,249R,RESISTOR_0402,RESC1005X40AN,,,,,,,,,,,,
R64,249R,RESISTOR_0402,RESC1005X40AN,,,,,,,,,,,,
R65,249R,RESISTOR_0402,RESC1005X40AN,,,,,,,,,,,,
R66,249R,RESISTOR_0402,RESC1005X40AN,,,,,,,,,,,,
R67,249R,RESISTOR_0402,RESC1005X40AN,,,,,,,,,,,,
R68,249R,RESISTOR_0402,RESC1005X40AN,,,,,,,,,,,,
R34,442R,RESISTOR_0402,RESC1005X40AN,RES 442 OHM 1/16W 1% 0402,RMCF0402FT442RCT-ND,Stackpole ,RMCF0402FT442R,,$0.02,,18,$0.31,,50,$0.85
R35,442R,RESISTOR_0402,RESC1005X40AN,,,,,,,,,,,,
R36,442R,RESISTOR_0402,RESC1005X40AN
R37,442R,RESISTOR_0402,RESC1005X40AN
R38,442R,RESISTOR_0402,RESC1005X40AN
R39,442R,RESISTOR_0402,RESC1005X40AN
R40,442R,RESISTOR_0402,RESC1005X40AN
R41,442R,RESISTOR_0402,RESC1005X40AN
R42,442R,RESISTOR_0402,RESC1005X40AN
R43,442R,RESISTOR_0402,RESC1005X40AN
R44,442R,RESISTOR_0402,RESC1005X40AN
R45,442R,RESISTOR_0402,RESC1005X40AN
R46,442R,RESISTOR_0402,RESC1005X40AN
R47,442R,RESISTOR_0402,RESC1005X40AN
R48,442R,RESISTOR_0402,RESC1005X40AN
R49,442R,RESISTOR_0402,RESC1005X40AN
R50,442R,RESISTOR_0402,RESC1005X40AN
R51,442R,RESISTOR_0402,RESC1005X40AN
R57,499R,RESISTOR_0402,RESC1005X40AN,RES 499 OHM 1/16W 1% 0402 SMD,311-499LRCT-ND,Yageo,RC0402FR-07499RL,,$0.02,,3,$0.14,,10,$0.18
R63,499R,RESISTOR_0402,RESC1005X40AN,,,,,,,,,,,,
R69,499R,RESISTOR_0402,RESC1005X40AN,,,,,,,,,,,,
R70,75R,RESISTOR_0402,RESC1005X40AN,RES 75 OHM 1/16W 1% 0402 SMD,RHM75.0CDCT-ND,Rohm Semi,MCR01MRTF75R0,,$0.02,,3,$0.13,,10,$0.16
R71,75R,RESISTOR_0402,RESC1005X40AN,,,,,,,,,,,,
R72,75R,RESISTOR_0402,RESC1005X40AN,,,,,,,,,,,,
R32,NC,RESISTOR_0402,RESC1005X40AN,,,,,,,,0,,,,
R2,100K,RESISTOR_0603,RESC1608X55N,RES 100K OHM 1/10W 1% 0603 SMD,311-100KHRCT-ND,Yageo,RC0603FR-07100KL,,$0.02,,2,$0.15,,10,$0.15
R3,100K,RESISTOR_0603,RESC1608X55N,,,,,,,,,,,,
R76,100R,RESISTOR_0603,RESC1608X55N,RES 100 OHM 1/10W 1% 0603 SMD,RHM100CFCT-ND,Rohm Semi,MCR03ERTF1000,,$0.01,,3,$0.14,,10,$0.14
R77,100R,RESISTOR_0603,RESC1608X55N,,,,,,,,,,,,
R10,10K,RESISTOR_0603,RESC1608X55N,RES 10K OHM 1/10W 1% 0603 SMD,311-10KHRCT-ND,Yageo,RC0603FR-07100KL,,$0.02,,7,$0.15,,0,
R18,10K,RESISTOR_0603,RESC1608X55N,,,,,,,,,,,,
R20,10K,RESISTOR_0603,RESC1608X55N,,,,,,,,,,,,
R21,10K,RESISTOR_0603,RESC1608X55N,,,,,,,,,,,,
R23,10k,RESISTOR_0603,RESC1608X55N,,,,,,,,,,,,
R25,10K,RESISTOR_0603,RESC1608X55N,,,,,,,,,,,,
R8,10K,RESISTOR_0603,RESC1608X55N,,,,,,,,,,,,
R11,10R,RESISTOR_0603,RESC1608X55N,RES 10 OHM 1/10W 1% 0603 SMD,RHM10.0CFCT-ND,Rohm Semi,MCR03ERTF10R0,,$0.01,,10,$0.11,,0,
R12,10R,RESISTOR_0603,RESC1608X55N,,,,,,,,,,,,
R16,10R,RESISTOR_0603,RESC1608X55N,,,,,,,,,,,,
R13,12.4K 1%,RESISTOR_0603,RESC1608X55N,RES 12.4K OHM 1/10W 1% 0603 SMD,RHM12.4KCFCT-ND,Rohm Semi,MCR03ERTF1242,,$0.01,,1,$0.11,,10,$0.11
R5,120K,RESISTOR_0603,RESC1608X55N,RES 120K OHM 1/10W 1% 0603,1276-4845-1-ND,Samsung ,RC1608F124CS,,$0.01,,1,$0.14,,10,$0.14
R14,330R,RESISTOR_0603,RESC1608X55N,RES 330 OHM 1/10W 1% 0603 SMD,RHM330CFDKR-ND, Rohm Semi,MCR03ERTF3300,,$0.01,,2,$0.11,,10,$0.11
R15,330R,RESISTOR_0603,RESC1608X55N,,,,,,,,,,,,
R1,4K7,RESISTOR_0603,RESC1608X55N,RES 4.7K OHM 1/10W 1% 0603 SMD,RHM4.70KCFCT-ND,Rohm Semi,MCR03ERTF4701,,$0.01,,2,$0.11,,10,$0.11
R17,4K7,RESISTOR_0603,RESC1608X55N,,,,,,,,,,,,
